system:index,B11,B4,B5,B8,EVI,NDRE,NDVI,NDWI,date,.geo
20211027T082041_20211027T084621_T34HCH,0.2672885319086201,0.12240181501787137,0.15299826629739138,0.20216965075409268,-0.24515121206966192,0.137344611836139,0.25315292239878523,-0.14914327223121945,2021-10-27,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211106T082131_20211106T084619_T34HCH,0.27970352426904926,0.12353816376607749,0.1546797209383473,0.21703662847413221,0.12239007012076952,0.16618944415474848,0.28284111245031224,-0.14402737005315833,2021-11-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211106T082131_20211106T084619_T34HCJ,0.283151055427711,0.12017605940725516,0.1522848184218434,0.2180536994885275,0.16855512397939068,0.16834422810355099,0.28800195640467824,-0.14885996474085453,2021-11-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211111T082059_20211111T084019_T34HCH,0.2797154765645952,0.11348213817777035,0.14403331324106183,0.2074144508104788,0.17111581056180372,0.17074294787485877,0.28875654705295517,-0.16408256527682674,2021-11-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211111T082059_20211111T084019_T34HCJ,0.2889592140906087,0.12021503705859765,0.15108411298210048,0.2151050595052076,0.16764590632111448,0.1648552763343377,0.27876605398300347,-0.164176262458952,2021-11-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211121T082149_20211121T084015_T34HCJ,0.29525296624184566,0.12435814119697956,0.15584793090119944,0.2202603704094085,0.16886188964257,0.15978539967057298,0.2731634336397323,-0.1636373292150812,2021-11-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211201T082219_20211201T084003_T34HCJ,0.29866745465598615,0.14430761013699595,0.17437550673135602,0.23906450652812306,7.076130827044619,0.15740792872859202,0.2620327236048975,-0.13678044035417386,2021-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211211T082239_20211211T084013_T34HCJ,0.30137849843393005,0.13591623692438914,0.16631201181470895,0.23023537094668842,0.13181083573394253,0.15840566460151162,0.26674537876310583,-0.15350637959594832,2021-12-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211221T082249_20211221T084014_T34HCH,0.2806612721489522,0.11112131549096835,0.14312302427655474,0.205233838777779,0.1716372545534419,0.16410811088468483,0.2887297173348568,-0.17370909698769552,2021-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211221T082249_20211221T084014_T34HCJ,0.2957016408099549,0.12064018322906439,0.1521251846688623,0.21217674430962688,0.1622805973992809,0.15229417005979567,0.2687996637490664,-0.18221838294410897,2021-12-21,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211226T082351_20211226T084701_T34HCJ,0.3040227028134612,0.13869756242893017,0.17256863608526496,0.22864046918867992,0.06743935696538332,0.13352921946117055,0.2499921946881009,-0.1634617194299613,2021-12-26,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211231T082239_20211231T084014_T34HCH,0.2810114732157791,0.11525246191861171,0.14678009692922428,0.21865112359694358,0.18685813686701513,0.18243007315864265,0.3001680890225257,-0.1436790321887135,2021-12-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211231T082239_20211231T084014_T34HCJ,0.29290824185680236,0.1242988624074178,0.15421892438248339,0.2218755886499318,0.17526925799920254,0.16851519179335062,0.2744902318902643,-0.1496876949400365,2021-12-31,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T082331_20220105T084650_T34HCH,0.2749421007495973,0.11279413173830728,0.1453329077386654,0.2117275058105334,0.1743098702962052,0.1718413295921608,0.297471222947591,-0.15018055753453097,2022-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220105T082331_20220105T084650_T34HCJ,0.2900312148682862,0.12241109005649915,0.15355835162667852,0.2201500691264599,0.16753066232919447,0.16527376652271963,0.27906128805563213,-0.15541404629631064,2022-01-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220115T082311_20220115T083812_T34HCH,0.28053051111690785,0.11832713188082586,0.1503957793772808,0.2042137406020436,0.2881543274206756,0.14025380491262993,0.259938422074105,-0.1720651136300358,2022-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220115T082311_20220115T083812_T34HCJ,0.2951896552878792,0.12476147364609803,0.1570261399146683,0.20985701841427867,0.1509807892678199,0.13424636990012484,0.25222617008437176,-0.18385210530668183,2022-01-15,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120T082149_20220120T084014_T34HCH,0.2734171728127702,0.11214883019015431,0.1399251452710891,0.21243123937865355,0.1809967509012301,0.19203897761904068,0.3014770708422573,-0.14476505066604933,2022-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220120T082149_20220120T084014_T34HCJ,0.28677368813902643,0.11830212950030508,0.14548445848298683,0.21845277707184246,0.17339495931932628,0.18788269213305045,0.29377463689819233,-0.15586806698210098,2022-01-20,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220125T082231_20220125T083850_T34HCJ,0.29213757867324214,0.1261753302264594,0.15745922057939646,0.21649871027818945,0.16061925706625166,0.15016708480429164,0.2627169430818305,-0.16144181698038568,2022-01-25,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220130T082059_20220130T084012_T34HCH,0.27482241053290235,0.11096594532170749,0.14156137273456057,0.20573850764463228,0.17205268624441572,0.17283752198779598,0.2943336251141287,-0.1630101358365837,2022-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220130T082059_20220130T084012_T34HCJ,0.2921896823103005,0.12145210959888526,0.15115525664652715,0.21259483643904722,0.1618276462901808,0.15935218526325626,0.27027437219604716,-0.17240698723312323,2022-01-30,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220204T082131_20220204T083849_T34HCJ,0.28136722330945807,0.11815155673087127,0.14814812329558058,0.21246438452819638,0.16660409947174856,0.1680499971963569,0.2817124497154857,-0.151519015296745,2022-02-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220209T082009_20220209T084008_T34HCH,0.26711066711366677,0.10910775531619857,0.137917164210808,0.20741877225071617,0.17834885995092536,0.18946294999403812,0.3072307642029967,-0.14577470689900593,2022-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220209T082009_20220209T084008_T34HCJ,0.28289107805422686,0.12009850324452728,0.146736542213252,0.21402901675486477,0.168706599269247,0.1781533594812309,0.27920201375204823,-0.15038773205398645,2022-02-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220214T082031_20220214T083850_T34HCH,0.2691678934869543,0.10768557278154504,0.14091678717093023,0.19726916373735287,0.1613960601932353,0.15623516379943633,0.29239675710267254,-0.1733783875537627,2022-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220214T082031_20220214T083850_T34HCJ,0.28549231984443174,0.11662350616884166,0.1487712578937098,0.20166487146517725,0.15143357124570853,0.14225001395598813,0.2661538669802856,-0.1830566052981332,2022-02-14,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220219T081959_20220219T084013_T34HCH,0.2642257044188481,0.10733928975084785,0.1353999835439981,0.20475235930802602,0.1776780807958349,0.19253443642466933,0.30870378284309424,-0.14568476758930352,2022-02-19,"{""type"":""MultiPoint"",""coordinates"":[]}"
